conditionId,city,entryTs,side,reason,cushion,ourBid,entryPrice,entryFill,exitPrice,exitFill,pnl,status,score,title
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364680,YES,forecast-in-range,0.50,0.5800,0.1739,68.97,1.0000,68.97,56.9737,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364830,YES,forecast-in-range,0.50,0.5900,0.1133,67.80,1.0000,67.80,60.1133,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776364980,YES,forecast-in-range,0.50,0.5100,0.1162,78.43,1.0000,78.43,69.3151,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0x127d1524cc3f67dfcde97b11eaa5f5a5de454eb6c2e3a6031989c1bbecf0b6ef,Buenos Aires,1776365160,YES,forecast-in-range,0.50,0.4700,0.1188,85.11,1.0000,85.11,74.9955,settle-win,1,Will the highest temperature in Buenos Aires be 24°C on April 16?
0xa6ad5f563d0a8b4b63088b2eb9e815bff87e073ca2fb69b9c978acde22aecc74,Seoul,1776383820,NO,observed-above,8.00,0.9780,0.9738,40.90,1.0000,40.90,1.0698,settle-win,1,Will the highest temperature in Seoul be 16°C on April 17?
0xa6ad5f563d0a8b4b63088b2eb9e815bff87e073ca2fb69b9c978acde22aecc74,Seoul,1776383880,NO,observed-above,8.00,0.9740,0.9738,41.07,1.0000,41.07,1.0741,settle-win,1,Will the highest temperature in Seoul be 16°C on April 17?
0xa6ad5f563d0a8b4b63088b2eb9e815bff87e073ca2fb69b9c978acde22aecc74,Seoul,1776384120,NO,observed-above,8.00,0.9820,0.9738,40.73,1.0000,40.73,1.0654,settle-win,1,Will the highest temperature in Seoul be 16°C on April 17?
0xa6ad5f563d0a8b4b63088b2eb9e815bff87e073ca2fb69b9c978acde22aecc74,Seoul,1776384180,NO,observed-above,8.00,0.9820,0.9738,40.73,1.0000,40.73,1.0654,settle-win,1,Will the highest temperature in Seoul be 16°C on April 17?
0xa6ad5f563d0a8b4b63088b2eb9e815bff87e073ca2fb69b9c978acde22aecc74,Seoul,1776384300,NO,observed-above,8.00,0.9738,0.9738,41.07,1.0000,41.07,1.0743,settle-win,1,Will the highest temperature in Seoul be 16°C on April 17?
0xa6ad5f563d0a8b4b63088b2eb9e815bff87e073ca2fb69b9c978acde22aecc74,Seoul,1776384330,NO,observed-above,8.00,0.9740,0.7786,41.07,1.0000,41.07,9.0906,settle-win,1,Will the highest temperature in Seoul be 16°C on April 17?
