city,date,icao,kind,winBucket,omMax,metarMax,omRounded,metarRounded,omAgrees,metarAgrees,delta
Moscow,2026-04-21,UUEE,exact,9,12.7,9,13,9,false,true,3.7
Buenos Aires,2026-04-18,SABE,exact,28,27,27,27,27,false,false,0
Jakarta,2026-04-21,WIII,exact,34,33.2,33,33,33,false,false,0.2
Tel Aviv,2026-04-04,LLBG,exact,24,21.6,24,22,24,false,true,-2.4
Mexico City,2026-04-19,MMMX,exact,25,30.2,27,30,27,false,false,3.2
Tokyo,2026-04-06,RJTT,exact,22,23.2,22,23,22,false,true,1.2
Milan,2026-04-17,LIMC,exact,24,25.6,24,26,24,false,true,1.6
Toronto,2026-04-03,CYYZ,exact,9,22,23,22,23,false,false,-1
Paris,2026-04-08,LFPG,exact,24,25.8,24,26,24,false,true,1.8
Seoul,2026-04-19,RKSI,exact,24,29,24,29,24,false,true,5
Guangzhou,2026-04-16,ZGGG,exact,31,31,31,31,31,true,true,0
Panama City,2026-04-11,MPTO,exact,32,33.2,32,33,32,false,true,1.2
Chongqing,2026-04-18,ZUCK,exact,31,30.1,31,30,31,false,true,-0.9
Taipei,2026-04-17,RCTP,exact,30,30.1,27,30,27,true,false,3.1
Kuala Lumpur,2026-04-17,WMKK,exact,32,34,32,34,32,false,true,2
Lagos,2026-04-16,DNMM,exact,31,31.2,31,31,31,true,true,0.2
Panama City,2026-04-17,MPTO,exact,33,33.8,34,34,34,false,false,-0.2
Singapore,2026-04-15,WSSS,exact,32,32.1,32,32,32,true,true,0.1
Milan,2026-04-18,LIMC,exact,25,25.6,25,26,25,false,true,0.6
Helsinki,2026-04-19,EFHK,exact,10,12.2,10,12,10,false,true,2.2
Tokyo,2026-03-30,RJTT,exact,20,20.2,20,20,20,true,true,0.2
